# Dados simulados — EcoPlate Biolog CLPP — Solo Cerrado (amostra fictícia)
# Leitura OD590 a 96h de incubação a 25°C
# Gerado por AgroDesign Lab para fins de teste e demonstração
# Para importar: aba Coleta → botão ⬆ Importar CSV
Poço,Linha,Coluna,Tipo,Tratamento,Replicata_Técnica,Bloco,Valor
A1,A,1,Ctrl. Negativo,"H₂O (ctrl.)",1,1,0.082
A2,A,2,Amostra,"Pyruvic acid methyl ester",1,1,0.778
A3,A,3,Amostra,"Tween 40",1,1,0.635
A4,A,4,Amostra,"Tween 80",1,1,0.592
A5,A,5,Ctrl. Negativo,"H₂O (ctrl.)",2,2,0.079
A6,A,6,Amostra,"Pyruvic acid methyl ester",2,2,0.717
A7,A,7,Amostra,"Tween 40",2,2,0.586
A8,A,8,Amostra,"Tween 80",2,2,0.563
A9,A,9,Ctrl. Negativo,"H₂O (ctrl.)",3,3,0.085
A10,A,10,Amostra,"Pyruvic acid methyl ester",3,3,0.727
A11,A,11,Amostra,"Tween 40",3,3,0.576
A12,A,12,Amostra,"Tween 80",3,3,0.548
B1,B,1,Amostra,"D-Cellobiose",1,1,1.061
B2,B,2,Amostra,"α-Cyclodextrin",1,1,0.456
B3,B,3,Amostra,"D-Galactonic acid-γ-lactone",1,1,0.418
B4,B,4,Amostra,"2-Hydroxy benzoic acid",1,1,0.198
B5,B,5,Amostra,"D-Cellobiose",2,2,1.067
B6,B,6,Amostra,"α-Cyclodextrin",2,2,0.486
B7,B,7,Amostra,"D-Galactonic acid-γ-lactone",2,2,0.384
B8,B,8,Amostra,"2-Hydroxy benzoic acid",2,2,0.209
B9,B,9,Amostra,"D-Cellobiose",3,3,0.996
B10,B,10,Amostra,"α-Cyclodextrin",3,3,0.437
B11,B,11,Amostra,"D-Galactonic acid-γ-lactone",3,3,0.439
B12,B,12,Amostra,"2-Hydroxy benzoic acid",3,3,0.214
C1,C,1,Amostra,"i-Erythritol",1,1,0.46
C2,C,2,Amostra,"D-Malic acid",1,1,0.857
C3,C,3,Amostra,"L-Arginine",1,1,0.915
C4,C,4,Amostra,"L-Asparagine",1,1,0.961
C5,C,5,Amostra,"i-Erythritol",2,2,0.522
C6,C,6,Amostra,"D-Malic acid",2,2,0.783
C7,C,7,Amostra,"L-Arginine",2,2,0.942
C8,C,8,Amostra,"L-Asparagine",2,2,0.886
C9,C,9,Amostra,"i-Erythritol",3,3,0.461
C10,C,10,Amostra,"D-Malic acid",3,3,0.869
C11,C,11,Amostra,"L-Arginine",3,3,0.981
C12,C,12,Amostra,"L-Asparagine",3,3,0.953
D1,D,1,Amostra,"N-Acetyl-D-Glucosamine",1,1,1.09
D2,D,2,Amostra,"D-Glucosaminic acid",1,1,0.546
D3,D,3,Amostra,"Glucose-1-phosphate",1,1,0.97
D4,D,4,Amostra,"D,L-α-Glycerol phosphate",1,1,0.503
D5,D,5,Amostra,"N-Acetyl-D-Glucosamine",2,2,1.048
D6,D,6,Amostra,"D-Glucosaminic acid",2,2,0.513
D7,D,7,Amostra,"Glucose-1-phosphate",2,2,1.01
D8,D,8,Amostra,"D,L-α-Glycerol phosphate",2,2,0.552
D9,D,9,Amostra,"N-Acetyl-D-Glucosamine",3,3,0.999
D10,D,10,Amostra,"D-Glucosaminic acid",3,3,0.577
D11,D,11,Amostra,"Glucose-1-phosphate",3,3,0.936
D12,D,12,Amostra,"D,L-α-Glycerol phosphate",3,3,0.519
E1,E,1,Amostra,"D-Xylose",1,1,1.139
